import time: self [us] | cumulative | imported package
import time:       754 |        754 |               OpenGL.raw.GL.ARB.shader_image_load_store
import time:      1141 |       1895 |             OpenGL.GL.ARB.shader_image_load_store
import time:       485 |        485 |               OpenGL.raw.GL.ARB.shading_language_packing
import time:      1343 |       1828 |             OpenGL.GL.ARB.shading_language_packing
import time:       490 |        490 |               OpenGL.raw.GL.ARB.texture_storage
import time:       742 |       1232 |             OpenGL.GL.ARB.texture_storage
import time:      6512 |      27933 |           OpenGL.GL.VERSION.GL_4_2
import time:      1225 |       1225 |             OpenGL.raw.GL.VERSION.GL_4_3
import time:       414 |        414 |               OpenGL.raw.GL.ARB.arrays_of_arrays
import time:       877 |       1291 |             OpenGL.GL.ARB.arrays_of_arrays
import time:      1530 |       1530 |               OpenGL.raw.GL.ARB.fragment_layer_viewport
import time:      2308 |       3838 |             OpenGL.GL.ARB.fragment_layer_viewport
import time:       903 |        903 |               OpenGL.raw.GL.ARB.shader_image_size
import time:      1289 |       2192 |             OpenGL.GL.ARB.shader_image_size
import time:       566 |        566 |               OpenGL.raw.GL.ARB.ES3_compatibility
import time:      1090 |       1655 |             OpenGL.GL.ARB.ES3_compatibility
import time:       527 |        527 |               OpenGL.raw.GL.ARB.clear_buffer_object
import time:       906 |       1432 |             OpenGL.GL.ARB.clear_buffer_object
import time:      1079 |       1079 |               OpenGL.raw.GL.ARB.compute_shader
import time:      1394 |       2473 |             OpenGL.GL.ARB.compute_shader
import time:       632 |        632 |               OpenGL.raw.GL.ARB.copy_image
import time:      1097 |       1729 |             OpenGL.GL.ARB.copy_image
import time:      1053 |       1053 |               OpenGL.GL.KHR
import time:       923 |        923 |                 OpenGL.raw.GL.KHR
import time:      2424 |       3346 |               OpenGL.raw.GL.KHR.debug
import time:      3284 |       7682 |             OpenGL.GL.KHR.debug
import time:       543 |        543 |               OpenGL.raw.GL.ARB.explicit_uniform_location
import time:      1250 |       1793 |             OpenGL.GL.ARB.explicit_uniform_location
import time:       782 |        782 |               OpenGL.raw.GL.ARB.framebuffer_no_attachments
import time:      1215 |       1997 |             OpenGL.GL.ARB.framebuffer_no_attachments
import time:       709 |        709 |               OpenGL.raw.GL.ARB.internalformat_query2
import time:      1266 |       1974 |             OpenGL.GL.ARB.internalformat_query2
import time:      1301 |       1301 |               OpenGL.raw.GL.ARB.invalidate_subdata
import time:      1742 |       3042 |             OpenGL.GL.ARB.invalidate_subdata
import time:      1028 |       1028 |               OpenGL.raw.GL.ARB.multi_draw_indirect
import time:      2315 |       3343 |             OpenGL.GL.ARB.multi_draw_indirect
import time:      1039 |       1039 |               OpenGL.raw.GL.ARB.program_interface_query
import time:      1961 |       3000 |             OpenGL.GL.ARB.program_interface_query
import time:       465 |        465 |               OpenGL.raw.GL.ARB.robust_buffer_access_behavior
import time:      1210 |       1675 |             OpenGL.GL.ARB.robust_buffer_access_behavior
import time:       477 |        477 |               OpenGL.raw.GL.ARB.shader_storage_buffer_object
import time:       825 |       1302 |             OpenGL.GL.ARB.shader_storage_buffer_object
import time:       400 |        400 |               OpenGL.raw.GL.ARB.stencil_texturing
import time:      1012 |       1411 |             OpenGL.GL.ARB.stencil_texturing
import time:       401 |        401 |               OpenGL.raw.GL.ARB.texture_buffer_range
import time:       813 |       1214 |             OpenGL.GL.ARB.texture_buffer_range
import time:      1465 |       1465 |               OpenGL.raw.GL.ARB.texture_query_levels
import time:      2025 |       3490 |             OpenGL.GL.ARB.texture_query_levels
import time:      1159 |       1159 |               OpenGL.raw.GL.ARB.texture_storage_multisample
import time:      1359 |       2518 |             OpenGL.GL.ARB.texture_storage_multisample
import time:       681 |        681 |               OpenGL.raw.GL.ARB.texture_view
import time:      1162 |       1843 |             OpenGL.GL.ARB.texture_view
import time:       752 |        752 |               OpenGL.raw.GL.ARB.vertex_attrib_binding
import time:      1484 |       2236 |             OpenGL.GL.ARB.vertex_attrib_binding
import time:     11670 |      66014 |           OpenGL.GL.VERSION.GL_4_3
import time:       644 |        644 |             OpenGL.raw.GL.VERSION.GL_4_4
import time:      1183 |       1826 |           OpenGL.GL.VERSION.GL_4_4
import time:      1575 |       1575 |             OpenGL.raw.GL.VERSION.GL_4_5
import time:      3575 |       5150 |           OpenGL.GL.VERSION.GL_4_5
import time:      1010 |       1010 |             OpenGL.raw.GL.VERSION.GL_4_6
import time:      1913 |       2923 |           OpenGL.GL.VERSION.GL_4_6
import time:       736 |        736 |             OpenGL.arrays.vbo
import time:       639 |       1375 |           OpenGL.GL.vboimplementation
import time:      1207 |       1207 |               OpenGL.raw.GL.ARB.vertex_buffer_object
import time:      1823 |       3030 |             OpenGL.GL.ARB.vertex_buffer_object
import time:      1104 |       1104 |               OpenGL.raw.GL.ARB.uniform_buffer_object
import time:      1323 |       2426 |             OpenGL.GL.ARB.uniform_buffer_object
import time:      1058 |       1058 |               OpenGL.raw.GL.ARB.texture_buffer_object
import time:      1504 |       2561 |             OpenGL.GL.ARB.texture_buffer_object
import time:       878 |        878 |               OpenGL.raw.GL.ARB.enhanced_layouts
import time:      1888 |       2766 |             OpenGL.GL.ARB.enhanced_layouts
import time:      2111 |      12893 |           OpenGL.GL.ARB.vboimplementation
import time:     14771 |     311609 |         OpenGL.GL
import time:      3120 |       3120 |         PySide6.QtOpenGLWidgets
import time:      8930 |       8930 |           img_player.bench.recorder
import time:     13679 |      22609 |         img_player.bench
import time:      5772 |       5772 |           img_player.color
